Reference_name,Ubump_inst,X_origin,Y_origin,Orientation,Port_name,Net_name
UBUMP,ma_ucie64b_rxdata[48],298.38,1093.88,R0,ma_ucie64b_rxdata[48],ma_ucie64b_rxdata[48]
UBUMP,ma_vss_38,362.02,1093.88,R0,vss,vss
UBUMP,ma_gpio[1],12,1125.7,R0,ma_gpio[1],ma_gpio[1]
UBUMP,ma_ucie64b_rxdata[0],75.64,1125.7,R0,ma_ucie64b_rxdata[0],ma_ucie64b_rxdata[0]
UBUMP,ma_vss_39,139.28,1125.7,R0,vss,vss
UBUMP,ma_ucie64b_rxdata[31],202.92,1125.7,R0,ma_ucie64b_rxdata[31],ma_ucie64b_rxdata[31]
UBUMP,ma_vss_40,266.56,1125.7,R0,vss,vss
UBUMP,ma_ucie64b_rxdata[52],330.2,1125.7,R0,ma_ucie64b_rxdata[52],ma_ucie64b_rxdata[52]
UBUMP,ma_vss_41,43.82,1157.52,R0,vss,vss
UBUMP,ma_ucie64b_rxdata[12],107.46,1157.52,R0,ma_ucie64b_rxdata[12],ma_ucie64b_rxdata[12]
UBUMP,ma_vccio_28,171.1,1157.52,R0,vccio,vccio
UBUMP,ma_ucie64b_rxdata[33],234.74,1157.52,R0,ma_ucie64b_rxdata[33],ma_ucie64b_rxdata[33]
UBUMP,ma_vccio_29,298.38,1157.52,R0,vccio,vccio
UBUMP,ma_ucie64b_rxdata[63],362.02,1157.52,R0,ma_ucie64b_rxdata[63],ma_ucie64b_rxdata[63]
UBUMP,ma_gpio[3],12,1189.34,R0,ma_gpio[3],ma_gpio[3]
UBUMP,ma_vss_42,75.64,1189.34,R0,vss,vss
UBUMP,ma_ucie64b_rxdata[15],139.28,1189.34,R0,ma_ucie64b_rxdata[15],ma_ucie64b_rxdata[15]
